Objeto;circunferencia;diametro
Lente; 42.7; 13.7
Desodorante;4;2.4
tampa de panela; 52.8; 17.6
Dipirona em Gota; 9.5; 3.0
ring light; 83.0; 26.0
garrafa termica;21.4;6.4
Lata de Nescau;22.922;7.3
vaso; 32.5; 10.2
Copo; 18.5; 5.2
Copo de plástico;26.7;8.5
copo; 22.2; 8.3
prato; 56.52; 18
roda de skate de silicone; 18 ; 5.4
Tampa; 20.5; 6.0
Ventilador; 193 ; 61
copo;21.8;7.9
copo;29.8;9.5
caneca; 25.6; 8.2
aliança; 7.4; 3.4
Rolo de fita crepe; 33.7; 10.7
Garrafa;20.5;6.5
pote;33.2;10.4
Jarro; 47.5; 14.0
ventilador;150.0;46.0
embalagem de creme; 17.4; 5.5
Xícara; 26.0; 8.0 
tigela; 63.5; 20.3
abajur; 110; 35
Bombonierie; 47.1;15
cumbuca; 79.17; 25.2
Frasco Danone; 17.0; 4.8
Lata de Spray de Cabelo; 17  ; 5  
Pote; 31.5; 10.0
copo; 21.4; 6.8
CD;37.68;12.0 
Lata de Açúcar; 31.5; 10.0
GarrafadeVinho;24.6;7.9
Caneca de Sopa; 37.5; 12.0
copo; 26; 8.2
pote; 19.0; 6.0
Pote; 8.5; 26.5
copo grande ; 30.1 ; 9.3
pote de fita isolante; 28.0; 9.0
garrafa;23;7.32
Saboneteira;25;07
Panela; 60.0; 19.0
PortaLapis;18.4;5.5
pote de vitamina; 18.5; 6.0
Salgadinho Pringles;21.5;7.0
garrafa;  22.0; 7.0
Creme;7.8;2.5
porta-caneta; 26.0; 8.0
caneca; 26.2; 8.0
creme;19.1;5.9
caneca;30.0; 9.0
caneca; 27.3; 9.8
copo; 19; 6
garrafaagua;26.4;8
desodorante; 14.2; 4.4
desodorante natural;17.5;5.3
prato;88;28
Garrafa Refrigerante; 23.0; 8.0
Breu;14.75; 4.5
Haltere;44;14
Pote de Café; 33.6 ; 10.6 
caneca; 23; 7
copo; 30; 8.75
Copo de plástico pequeno; 19.2; 6.2
caneca; 23.1; 7.5
ventilador;117;38
Desodorante;4.3;4.2
tampa; 4.23 ; 0.4
Pote de creme de tratamento capilar; 35.9; 5.7
Vaso pequeno de flor;20 ;5.2
CD; 37; 12
Caneca de plástico;23.56;7.5
lata de pêssego; 32.2; 10
